Player,Nation,Pos,Squad,Age,Born,MatchesPlayed,Gls,Ast,xG,xAG,Shots,SoT,PassCmp,PassAtt,PassCmpPct,Tkl,TklW,Blocks,Int,GK_GA,GK_GA90,GK_SoTA,GK_Saves,GK_SavePct,GK_CS,GK_CSPct,GK_PKAtt,GK_PKA,GK_PKsv,GK_PKm,GK_PSxG,GK_PSxG_per_SoT,GK_PSxG_PlusMinus,GK_PSxG_PlusMinus_per90,GK_PassCmp,GK_PassAtt,GK_PassCmpPct,GK_GKPassAtt,GK_Throws,GK_LaunchPct,GK_AvgLen,GK_CrossesStp,GK_CrossesStpPct,GK_OPA,GK_OPA90,GK_OPA_AvgDist,IsGK,AgeYears
luis ingolotti,ar ARG,GK,Cen. Córdoba–SdE,24,2000,26.0,0,0,0.0,0.0,0,0,445,698,63.75,0,0,0,0,34.0,1.31,110.0,75.0,70.9,6.0,23.1,3.0,2.0,1.0,0.0,32.4,0.29,-1.6,-0.06,95.0,313.0,30.4,536.0,119.0,43.8,36.8,24.0,7.6,23.0,0.88,13.9,True,24.0
luis miguel rodriguez,ar ARG,"FW,MF",Atlé Tucumán,39,1985,6.6,2,2,2.1,2.2,20,5,142,228,62.28,6,4,6,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,39.0
luis sanchez,co COL,"MF,FW",Cen. Córdoba–SdE,23,2000,2.4,0,0,0.5,0.0,8,0,86,117,73.5,3,1,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,23.0
luis sequeira,ar ARG,MF,Ind. Rivadavia,21,2003,11.1,1,1,0.9,1.5,20,8,374,505,74.06,26,17,9,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,21.0
maher carrizo,ar ARG,"FW,MF",Vélez Sarsfield,17,2006,2.0,0,0,0.6,0.6,8,1,39,52,75.0,2,1,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,17.0
malcom braida,ar ARG,DF,San Lorenzo,26,1997,12.4,0,0,0.8,1.1,16,4,419,600,69.83,37,24,16,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,26.0
manuel agustin duarte,ar ARG,"MF,FW",Barracas Central,22,2001,5.7,1,1,0.9,0.9,15,5,138,190,72.63,7,7,5,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,22.0
manuel garcia,ar ARG,MF,Sarmiento,24,1999,19.5,2,1,1.4,1.0,17,5,320,510,62.75,49,28,27,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,24.0
manuel guillen,ar ARG,"DF,FW",Godoy Cruz,22,2001,0.3,0,0,0.1,0.0,2,0,3,6,50.0,3,3,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,22.0
manuel lanzini,ar ARG,"MF,FW",River Plate,30,1993,9.3,1,0,2.0,1.4,22,4,568,666,85.29,15,8,11,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,30.0
manuel monaco,ar ARG,"MF,FW",Sarmiento,21,2002,3.5,0,0,1.0,0.2,6,2,56,86,65.12,4,3,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,21.0
manuel palavecino,ar ARG,"MF,FW",Cen. Córdoba–SdE,21,2003,1.4,1,0,0.2,0.1,3,1,32,50,64.0,3,2,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,21.0
manuel panaro miramon,ar ARG,"FW,DF",Gimnasia–LP,21,2002,2.7,0,0,0.1,0.0,3,1,36,63,57.14,2,1,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,21.0
