name,dob,nationality,position,team,age_years,is_gk,season,league_code,player_id_fb
dylan gorosito,2006,ar ARG,DF,Boca Juniors,17.0,False,2024,ARG1,
edinson cavani,1987,uy URU,FW,Boca Juniors,36.0,False,2024,ARG1,
eduardo salvio,1990,ar ARG,"FW,MF",Lanús,33.0,False,2024,ARG1,
edwuin cetre,1998,co COL,"FW,MF",Estudiantes–LP,26.0,False,2024,ARG1,
elian irala,2004,ar ARG,MF,San Lorenzo,19.0,False,2024,ARG1,
elias baez,2004,ar ARG,DF,San Lorenzo,19.0,False,2024,ARG1,
elias cabrera,2003,ar ARG,"MF,FW",Cen. Córdoba–SdE,20.0,False,2024,ARG1,
elias gomez,1994,ar ARG,DF,Vélez Sarsfield,29.0,False,2024,ARG1,
elias lopez,2000,ar ARG,DF,Sarmiento,23.0,False,2024,ARG1,
elias ocampo,2004,ar ARG,"DF,FW",Rosario Central,19.0,False,2024,ARG1,
elias pereyra,1999,ar ARG,DF,Godoy Cruz,24.0,False,2024,ARG1,
emanuel aguilera,1989,ar ARG,DF,Defensa y Just,34.0,False,2024,ARG1,
emanuel coronel,1997,ar ARG,DF,Rosario Central,26.0,False,2024,ARG1,
emanuel dall'aglio,2005,ar ARG,DF,Estudiantes–LP,18.0,False,2024,ARG1,
emanuel insua,1991,ar ARG,DF,Banfield,32.0,False,2024,ARG1,
emanuel mammana,1996,ar ARG,DF,Vélez Sarsfield,27.0,False,2024,ARG1,
emanuel rojas,2005,ar ARG,MF,Banfield,18.0,False,2024,ARG1,
emiliano giannunzio,1982,ar ARG,MF,Unión,42.0,False,2024,ARG1,
emiliano mendez,1989,ar ARG,MF,Sarmiento,34.0,False,2024,ARG1,
emiliano saliadarre,2002,ar ARG,FW,Ind. Rivadavia,21.0,False,2024,ARG1,
emiliano viveros,2002,ar ARG,"MF,FW",Arg Juniors,21.0,False,2024,ARG1,
enrique bologna,1982,ar ARG,GK,Defensa y Just,41.0,True,2024,ARG1,
enzo briones,2004,ar ARG,MF,Godoy Cruz,19.0,False,2024,ARG1,
enzo copetti,1996,ar ARG,"FW,MF",Rosario Central,28.0,False,2024,ARG1,
enzo diaz,1995,ar ARG,DF,River Plate,28.0,False,2024,ARG1,
enzo martin roldan,2000,ar ARG,MF,Unión,23.0,False,2024,ARG1,
enzo martinez,1998,uy URU,DF,Gimnasia–LP,25.0,False,2024,ARG1,
enzo perez,1986,ar ARG,MF,Estudiantes–LP,37.0,False,2024,ARG1,
eric meza,1999,ar ARG,DF,Estudiantes–LP,24.0,False,2024,ARG1,
eric ramirez,1998,ve VEN,"FW,DF",Tigre,25.0,False,2024,ARG1,
eric remedi,1995,ar ARG,MF,San Lorenzo,28.0,False,2024,ARG1,
erik godoy,1993,ar ARG,DF,Arg Juniors,30.0,False,2024,ARG1,
eros mancuso,1999,ar ARG,DF,Estudiantes–LP,24.0,False,2024,ARG1,
esequiel barco,1999,ar ARG,MF,River Plate,24.0,False,2024,ARG1,
esteban burgos,1992,ar ARG,DF,Ind. Rivadavia,32.0,False,2024,ARG1,
esteban fernandez,2002,ar ARG,MF,Newell's OB,22.0,False,2024,ARG1,
esteban lucero,2005,ar ARG,DF,Defensa y Just,18.0,False,2024,ARG1,
esteban rolon,1995,ar ARG,MF,Belgrano,28.0,False,2024,ARG1,
ever banega,1988,ar ARG,"MF,FW",Newell's OB,35.0,False,2024,ARG1,
exequiel zeballos,2002,ar ARG,"MF,FW",Boca Juniors,21.0,False,2024,ARG1,
ezequiel bonifacio,1994,ar ARG,DF,Banfield,29.0,False,2024,ARG1,
ezequiel canete,1999,ar ARG,MF,Banfield,24.0,False,2024,ARG1,
ezequiel cannavo,2002,ar ARG,DF,Defensa y Just,21.0,False,2024,ARG1,
ezequiel centurion,1997,ar ARG,GK,Ind. Rivadavia,26.0,True,2024,ARG1,
ezequiel cerutti,1992,ar ARG,FW,San Lorenzo,32.0,False,2024,ARG1,
ezequiel fernandez,2002,ar ARG,MF,Boca Juniors,21.0,False,2024,ARG1,
ezequiel forclaz,2003,ar ARG,"MF,FW",Tigre,20.0,False,2024,ARG1,
ezequiel ham,1994,sy SYR,MF,Ind. Rivadavia,29.0,False,2024,ARG1,
ezequiel munoz,1990,ar ARG,DF,Lanús,33.0,False,2024,ARG1,
ezequiel naya,2001,ar ARG,DF,Estudiantes–LP,22.0,False,2024,ARG1,
fabio alvarez,1993,ar ARG,"MF,FW",Lanús,31.0,False,2024,ARG1,
fabio pereyra,1990,ar ARG,DF,Huracán,34.0,False,2024,ARG1,
fabricio bustos,1996,ar ARG,DF,River Plate,27.0,False,2024,ARG1,
fabricio corbalan,2003,ar ARG,DF,Gimnasia–LP,20.0,False,2024,ARG1,
fabricio iacovich,2002,ar ARG,GK,Estudiantes–LP,22.0,True,2024,ARG1,
fabricio lopez,2002,ar ARG,DF,San Lorenzo,21.0,False,2024,ARG1,
fabricio oviedo,2004,ar ARG,FW,Rosario Central,19.0,False,2024,ARG1,
fabricio perez,2005,ar ARG,"MF,FW",Estudiantes–LP,18.0,False,2024,ARG1,
fabricio tirado,2004,ar ARG,MF,Newell's OB,19.0,False,2024,ARG1,
fabrizio sartori,2002,ar ARG,"FW,MF",Ind. Rivadavia,21.0,False,2024,ARG1,
facundo altamira,0,0,"MF,FW",Godoy Cruz,0.0,False,2024,ARG1,
facundo altamirano,1996,ar ARG,GK,San Lorenzo,27.0,True,2024,ARG1,
facundo ardiles,1998,ar ARG,"DF,FW",Godoy Cruz,25.0,False,2024,ARG1,
facundo baez,2004,ar ARG,"FW,DF",Arg Juniors,19.0,False,2024,ARG1,
facundo bruera,1998,ar ARG,FW,Barracas Central,25.0,False,2024,ARG1,
facundo butti,2000,ar ARG,DF,Godoy Cruz,23.0,False,2024,ARG1,
facundo cambeses,1997,ar ARG,GK,Racing Club,26.0,True,2024,ARG1,
facundo colidio,2000,ar ARG,FW,River Plate,24.0,False,2024,ARG1,
facundo echevarria,2002,ar ARG,"FW,MF",Defensa y Just,21.0,False,2024,ARG1,
facundo ferreyra,1991,ar ARG,FW,Tigre,32.0,False,2024,ARG1,
facundo kruger,2000,ar ARG,FW,Barracas Central,23.0,False,2024,ARG1,
facundo lencioni,2001,ar ARG,"DF,MF",Belgrano,22.0,False,2024,ARG1,
facundo mallo,1995,uy URU,DF,Rosario Central,29.0,False,2024,ARG1,
facundo mater,1998,sy SYR,"DF,MF",Barracas Central,25.0,False,2024,ARG1,
facundo mura,1999,ar ARG,"DF,MF",Racing Club,24.0,False,2024,ARG1,
facundo quignon,1993,ar ARG,MF,Belgrano,30.0,False,2024,ARG1,
facundo rodriguez,2000,ar ARG,DF,Estudiantes–LP,23.0,False,2024,ARG1,
facundo roncaglia,1987,ar ARG,DF,Sarmiento,36.0,False,2024,ARG1,
facundo russo,2000,ar ARG,MF,Platense,23.0,False,2024,ARG1,
facundo sanguinetti,2001,ar ARG,GK,Banfield,22.0,True,2024,ARG1,
facundo suarez,1994,ar ARG,FW,Instituto,29.0,False,2024,ARG1,
favio cabral,2001,ar ARG,FW,Cen. Córdoba–SdE,22.0,False,2024,ARG1,
federico aguirre,2002,ar ARG,FW,Barracas Central,21.0,False,2024,ARG1,
federico andueza,1997,uy URU,DF,Cen. Córdoba–SdE,26.0,False,2024,ARG1,
federico fattori,1992,ar ARG,MF,Huracán,31.0,False,2024,ARG1,
federico fernandez,1989,ar ARG,DF,Estudiantes–LP,34.0,False,2024,ARG1,
federico gattoni,1999,ar ARG,DF,River Plate,24.0,False,2024,ARG1,
federico girotti,1999,ar ARG,FW,Talleres,24.0,False,2024,ARG1,
federico mancuello,1989,ar ARG,"MF,FW",Independiente,34.0,False,2024,ARG1,
federico medina,2004,ar ARG,FW,Banfield,19.0,False,2024,ARG1,
federico milo,1992,ar ARG,DF,Ind. Rivadavia,32.0,False,2024,ARG1,
federico paradela,1999,ar ARG,MF,Sarmiento,24.0,False,2024,ARG1,
federico rasmussen,1992,ar ARG,DF,Godoy Cruz,31.0,False,2024,ARG1,
federico vera,1998,ar ARG,DF,Independiente,25.0,False,2024,ARG1,
felipe aguilar,1993,co COL,DF,Independiente,31.0,False,2024,ARG1,
felipe loyola,2000,cl CHI,"MF,DF",Independiente,23.0,False,2024,ARG1,
felipe pena,2001,ar ARG,MF,Lanús,22.0,False,2024,ARG1,
felipe sanchez,2004,ar ARG,"DF,FW",Gimnasia–LP,19.0,False,2024,ARG1,
felipe zenobio,2000,ar ARG,GK,Tigre,23.0,True,2024,ARG1,
fernando alarcon,1994,ar ARG,DF,Instituto,29.0,False,2024,ARG1,
fernando benitez,2000,ar ARG,"FW,MF",Cen. Córdoba–SdE,23.0,False,2024,ARG1,
fernando david cardozo,2001,py PAR,"FW,MF",Newell's OB,22.0,False,2024,ARG1,
fernando godoy,1990,ar ARG,MF,Sarmiento,33.0,False,2024,ARG1,
fernando juarez,1998,ar ARG,MF,Platense,25.0,False,2024,ARG1,
