name,dob,position,team,age_years,is_gk,season,league_code,player_id_fb,name_norm,dob_key,k1,tm_player_id,market_value_eur,last_update,nationality,fuzzy_score,player_uuid
camilo viganoni,2003,FW,Tigre,20.0,False,2024,ARG1,,camilo viganoni,2003,camilo viganoni|2003,,,,ar ARG,,camilo viganoni|2003
carlos arce,1990,MF,Barracas Central,33.0,False,2024,ARG1,,carlos arce,1990,carlos arce|1990,,,,ar ARG,,carlos arce|1990
carlos izquierdoz,1988,DF,Lanús,35.0,False,2024,ARG1,,carlos izquierdoz,1988,carlos izquierdoz|1988,,,,ar ARG,,carlos izquierdoz|1988
carlos quintana,1988,DF,Rosario Central,35.0,False,2024,ARG1,,carlos quintana,1988,carlos quintana|1988,,,,ar ARG,,carlos quintana|1988
carlos sanchez,1986,DF,Barracas Central,37.0,False,2024,ARG1,,carlos sanchez,1986,carlos sanchez|1986,51226.0,250000.0,,co COL,100.0,carlos sanchez|1986
carlos villalba,1998,MF,Platense,25.0,False,2024,ARG1,,carlos villalba,1998,carlos villalba|1998,,,,ar ARG,,carlos villalba|1998
cesar ibanez,1999,DF,Huracán,24.0,False,2024,ARG1,,cesar ibanez,1999,cesar ibanez|1999,,,,ar ARG,,cesar ibanez|1999
cesar perez,2002,"MF,FW",Defensa y Just,21.0,False,2024,ARG1,,cesar perez,2002,cesar perez|2002,,,,cl CHI,,cesar perez|2002
christian ordonez,2004,MF,Vélez Sarsfield,19.0,False,2024,ARG1,,christian ordonez,2004,christian ordonez|2004,,,,ar ARG,,christian ordonez|2004
claudio aquino,1991,MF,Vélez Sarsfield,32.0,False,2024,ARG1,,claudio aquino,1991,claudio aquino|1991,,,,ar ARG,,claudio aquino|1991
claudio corvalan,1989,DF,Unión,34.0,False,2024,ARG1,,claudio corvalan,1989,claudio corvalan|1989,,,,ar ARG,,claudio corvalan|1989
claudio echeverri,2006,"MF,FW",River Plate,18.0,False,2024,ARG1,,claudio echeverri,2006,claudio echeverri|2006,994536.0,18000000.0,,ar ARG,100.0,claudio echeverri|2006
claudio valverde,2002,"MF,DF",Godoy Cruz,21.0,False,2024,ARG1,,claudio valverde,2002,claudio valverde|2002,,,,ar ARG,,claudio valverde|2002
