Player,MarketValueEUR,team_name,team_id
Darío Benedetto,,CA Boca Juniors,189
Milton Giménez,,CA Boca Juniors,189
Ignacio Rodríguez,,CA Boca Juniors,189
Álvaro Montero,,CA Vélez Sarsfield,1029
Gastón Gómez,,CA Vélez Sarsfield,1029
Sebastián Sosa,,CA Vélez Sarsfield,1029
Leonardo Burián,,CA Vélez Sarsfield,1029
Tomás Marchiori,,CA Vélez Sarsfield,1029
Randall Rodríguez,,CA Vélez Sarsfield,1029
Lautaro Garzón,,CA Vélez Sarsfield,1029
Emanuel Mammana,,CA Vélez Sarsfield,1029
Valentín Gómez,,CA Vélez Sarsfield,1029
Lautaro Giannetti,,CA Vélez Sarsfield,1029
Lisandro Magallán,,CA Vélez Sarsfield,1029
Matías De los Santos,,CA Vélez Sarsfield,1029
Miguel Brizuela,,CA Vélez Sarsfield,1029
Aarón Quirós,,CA Vélez Sarsfield,1029
Damián Fernández,,CA Vélez Sarsfield,1029
Patricio Pernicone,,CA Vélez Sarsfield,1029
Thiago Silvero,,CA Vélez Sarsfield,1029
Elías Gómez,,CA Vélez Sarsfield,1029
Braian Cufré,,CA Vélez Sarsfield,1029
Tomás Cavanagh,,CA Vélez Sarsfield,1029
Tomás Guidara,,CA Vélez Sarsfield,1029
Leonardo Jara,,CA Vélez Sarsfield,1029
Agustín Lagos,,CA Vélez Sarsfield,1029
Joaquín García,,CA Vélez Sarsfield,1029
Jano Gordon,,CA Vélez Sarsfield,1029
Isaías Andrada,,CA Vélez Sarsfield,1029
Claudio Baeza,,CA Vélez Sarsfield,1029
Santiago Cáseres,,CA Vélez Sarsfield,1029
Juan Ignacio Méndez,,CA Vélez Sarsfield,1029
Jalil Elías,,CA Vélez Sarsfield,1029
Yeison Gordillo,,CA Vélez Sarsfield,1029
Agustín Bouzat,,CA Vélez Sarsfield,1029
Agustín Mulet,,CA Vélez Sarsfield,1029
Felipe Bussio,,CA Vélez Sarsfield,1029
Nicolás Garayalde,,CA Vélez Sarsfield,1029
