player_uuid,name,dob,nationality,tm_player_id,market_value_eur,last_update,fuzzy_score
fernando martinez|2000,fernando martinez,2000,ar ARG,81997.0,700000.0,,100.0
fernando meza|1990,fernando meza,1990,ar ARG,,,,
fernando romero|2000,fernando romero,2000,py PAR,,,,
fernando tobio|1989,fernando tobio,1989,ar ARG,,,,
fernando zuqui|1991,fernando zuqui,1991,ar ARG,248763.0,1800000.0,,100.0
flabian londono|2000,flabian londono,2000,co COL,,,,
florian monzon|2001,florian monzon,2001,ar ARG,,,,
francesco lo celso|2000,francesco lo celso,2000,ar ARG,,,,
francis mac allister|1995,francis mac allister,1995,ar ARG,,,,
francisco alvarez|2000,francisco alvarez,2000,ar ARG,,,,
francisco bonfiglio|2002,francisco bonfiglio,2002,es ESP,297064.0,125000.0,,94.73684210526316
francisco facello|2003,francisco facello,2003,ar ARG,,,,
francisco flores|2002,francisco flores,2002,ar ARG,,,,
francisco fydriszewski|1993,francisco fydriszewski,1993,ar ARG,,,,
francisco gerometta|1999,francisco gerometta,1999,ar ARG,,,,
francisco gonzalez|1997,francisco gonzalez,1997,ar ARG,,,,
francisco marco|2003,francisco marco,2003,ar ARG,,,,
francisco montoro|2004,francisco montoro,2004,ar ARG,,,,
francisco perruzzi|2001,francisco perruzzi,2001,ar ARG,,,,
francisco petrasso|2002,francisco petrasso,2002,ar ARG,985683.0,1500000.0,,100.0
francisco pizzini|1993,francisco pizzini,1993,ar ARG,,,,
franco alfonso|2002,franco alfonso,2002,ar ARG,,,,
franco aragon|1994,franco aragon,1994,ar ARG,,,,
franco armani|1986,franco armani,1986,ar ARG,,,,
franco baldassarra|1998,franco baldassarra,1998,ar ARG,655678.0,450000.0,,100.0
franco diaz|2000,franco diaz,2000,ar ARG,,,,
franco ibarra|2001,franco ibarra,2001,ar ARG,,,,
franco jara|1988,franco jara,1988,ar ARG,75035.0,400000.0,,100.0
franco mastantuono|2007,franco mastantuono,2007,ar ARG,,,,
franco minerva|2006,franco minerva,2006,ar ARG,,,,
franco moyano|1997,franco moyano,1997,ar ARG,,,,
franco nicola|2002,franco nicola,2002,uy URU,,,,
franco pardo|1997,franco pardo,1997,ar ARG,,,,
franco paredes|1999,franco paredes,1999,ar ARG,,,,
franco petroli|1998,franco petroli,1998,ar ARG,,,,
franco rami|2003,franco rami,2003,ar ARG,,,,
franco romero|2000,franco romero,2000,ar ARG,325454.0,300000.0,,100.0
franco troyansky|1997,franco troyansky,1997,ar ARG,,,,
franco watson|2000,franco watson,2000,ar ARG,,,,
franco zapiola|2001,franco zapiola,2001,ar ARG,,,,
frank fabra|1991,frank fabra,1991,co COL,,,,
gabriel alanis|1994,gabriel alanis,1994,ar ARG,,,,
gabriel aranda|2001,gabriel aranda,2001,ar ARG,,,,
gabriel arias|1987,gabriel arias,1987,cl CHI,,,,
gabriel avalos|1990,gabriel avalos,1990,py PAR,,,,
gabriel carabajal|1991,gabriel carabajal,1991,ar ARG,,,,
gabriel compagnucci|1991,gabriel compagnucci,1991,ar ARG,,,,
gabriel diaz|2000,gabriel diaz,2000,ar ARG,,,,
gabriel gudino|1992,gabriel gudino,1992,ar ARG,,,,
gabriel hachen|1990,gabriel hachen,1990,ar ARG,54845.0,200000.0,,92.85714285714286
gabriel hauche|1986,gabriel hauche,1986,ar ARG,54845.0,200000.0,,100.0
gabriel neves|1997,gabriel neves,1997,uy URU,,,,
gabriel rojas|1997,gabriel rojas,1997,ar ARG,,,,
galvan vittar|2004,galvan vittar,2004,ar ARG,,,,
gary medel|1987,gary medel,1987,cl CHI,60889.0,800000.0,,100.0
gaspar duarte|2003,gaspar duarte,2003,ar ARG,129224.0,50000.0,,95.0
gaston benavidez|1995,gaston benavidez,1995,ar ARG,,,,
gaston benedetti|2001,gaston benedetti,2001,ar ARG,,,,
gaston campi|1991,gaston campi,1991,ar ARG,292174.0,300000.0,,100.0
gaston emanuel moreyra|1999,gaston emanuel moreyra,1999,ar ARG,,,,
gaston gil romero|1993,gaston gil romero,1993,ar ARG,,,,
gaston gomez|1996,gaston gomez,1996,ar ARG,,,,
gaston lodico|1998,gaston lodico,1998,ar ARG,,,,
gaston martirena|2000,gaston martirena,2000,uy URU,,,,
gaston sauro|1990,gaston sauro,1990,ar ARG,,,,
gaston suso|1991,gaston suso,1991,ar ARG,,,,
gaston veron|2001,gaston veron,2001,ar ARG,,,,
german conti|1994,german conti,1994,ar ARG,284321.0,800000.0,,100.0
german pezzella|1991,german pezzella,1991,ar ARG,113133.0,3000000.0,,100.0
geronimo heredia|2005,geronimo heredia,2005,ar ARG,,,,
geronimo montivero|2005,geronimo montivero,2005,ar ARG,,,,
geronimo rivera|2003,geronimo rivera,2003,ar ARG,,,,
gian nardelli|2000,gian nardelli,2000,ar ARG,,,,
gianluca ferrari|1997,gianluca ferrari,1997,ar ARG,,,,
gino peruzzi|1992,gino peruzzi,1992,ar ARG,138110.0,650000.0,,100.0
giovani chiaverano|2005,giovani chiaverano,2005,ar ARG,,,,
giovanni bogado|2001,giovanni bogado,2001,py PAR,,,,
giuliano cerato|1998,giuliano cerato,1998,ar ARG,,,,
gonzalo abrego|2000,gonzalo abrego,2000,ar ARG,,,,
gonzalo alvez|2003,gonzalo alvez,2003,ar ARG,,,,
