name,Pos,Squad,Age,dob,MatchesPlayed,Gls,Ast,xG,xAG,Shots,SoT,PassCmp,PassAtt,PassCmpPct,Tkl,TklW,Blocks,Int,GK_GA,GK_GA90,GK_SoTA,GK_Saves,GK_SavePct,GK_CS,GK_CSPct,GK_PKAtt,GK_PKA,GK_PKsv,GK_PKm,GK_PSxG,GK_PSxG_per_SoT,GK_PSxG_PlusMinus,GK_PSxG_PlusMinus_per90,GK_PassCmp,GK_PassAtt,GK_PassCmpPct,GK_GKPassAtt,GK_Throws,GK_LaunchPct,GK_AvgLen,GK_CrossesStp,GK_CrossesStpPct,GK_OPA,GK_OPA90,GK_OPA_AvgDist,IsGK,AgeYears,name_norm,dob_key,k1,tm_player_id,market_value_eur,last_update,nationality,fuzzy_score,player_uuid
agustin modica,FW,Rosario Central,21,2003,6.0,3,0,2.0,0.5,13,7,81,114,71.05,8,4,5,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,21.0,agustin modica,2003,agustin modica|2003,1184570.0,1300000.0,2025-10-17,ar ARG,100.0,agustin modica|2003
agustin morales,"FW,DF",Cen. Córdoba–SdE,24,1999,0.9,0,0,0.3,0.0,6,0,27,36,75.0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,24.0,agustin morales,1999,agustin morales|1999,,,,ar ARG,,agustin morales|1999
agustin mulet,MF,Ind. Rivadavia,23,2000,3.5,0,0,0.0,0.1,0,0,67,95,70.53,10,8,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,23.0,agustin mulet,2000,agustin mulet|2000,,,,ar ARG,,agustin mulet|2000
agustin obando,"MF,FW",Banfield,23,2000,2.9,0,0,0.3,0.5,6,2,58,94,61.7,7,5,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,23.0,agustin obando,2000,agustin obando|2000,491706.0,125000.0,2025-10-17,ar ARG,100.0,agustin obando|2000
agustin palavecino,MF,River Plate,27,1996,0.3,0,0,0.0,0.0,0,0,32,36,88.89,2,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,27.0,agustin palavecino,1996,agustin palavecino|1996,,,,ar ARG,,agustin palavecino|1996
agustin quiroga,DF,Platense,21,2002,2.8,0,1,0.1,0.6,3,1,57,93,61.29,6,3,7,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,21.0,agustin quiroga,2002,agustin quiroga|2002,,,,ar ARG,,agustin quiroga|2002
agustin rodriguez,"FW,MF",Lanús,19,2004,2.1,1,0,1.4,0.2,5,2,37,63,58.73,7,3,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,19.0,agustin rodriguez,2004,agustin rodriguez|2004,,,,ar ARG,,agustin rodriguez|2004
agustin ruberto,"FW,MF",River Plate,18,2006,1.5,0,0,0.3,0.0,3,0,15,21,71.43,1,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,18.0,agustin ruberto,2006,agustin ruberto|2006,1000688.0,2500000.0,2025-10-17,ar ARG,100.0,agustin ruberto|2006
agustin sandez,DF,Rosario Central,23,2001,16.5,1,0,0.8,0.5,11,3,573,774,74.03,39,29,22,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,23.0,agustin sandez,2001,agustin sandez|2001,847023.0,2500000.0,2025-10-17,py PAR,100.0,agustin sandez|2001
agustin sant'anna,DF,River Plate,26,1997,3.8,0,1,0.1,0.7,4,3,168,229,73.36,10,8,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,26.0,agustin sant'anna,1997,agustin sant'anna|1997,,,,uy URU,,agustin sant'anna|1997
agustin toledo,MF,Huracán,23,2000,2.0,0,0,0.0,0.0,1,0,63,80,78.75,9,6,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,23.0,agustin toledo,2000,agustin toledo|2000,,,,ar ARG,,agustin toledo|2000
agustin urzi,"MF,FW",Racing Club,23,2000,6.8,0,0,1.0,1.9,13,6,143,223,64.13,7,3,7,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,23.0,agustin urzi,2000,agustin urzi|2000,636441.0,1200000.0,2025-10-17,ar ARG,100.0,agustin urzi|2000
agustin villalobos,MF,Godoy Cruz,20,2003,0.3,0,0,0.0,0.0,1,1,11,15,73.33,0,0,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,20.0,agustin villalobos,2003,agustin villalobos|2003,,,,ar ARG,,agustin villalobos|2003
alan aguerre,GK,Lanús,33,1990,10.0,0,0,0.0,0.0,0,0,176,299,58.86,0,0,1,0,14.0,1.4,43.0,28.0,69.8,1.0,10.0,2.0,1.0,1.0,0.0,13.0,0.27,-1.0,-0.1,67.0,176.0,38.1,199.0,24.0,52.8,40.9,3.0,1.7,4.0,0.4,14.0,True,33.0,alan aguerre,1990,alan aguerre|1990,269784.0,200000.0,2025-10-17,ar ARG,100.0,alan aguerre|1990
alan barrionuevo,DF,Deportivo Riestra,27,1997,24.0,2,1,0.9,0.8,22,9,289,521,55.47,35,21,33,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,27.0,alan barrionuevo,1997,alan barrionuevo|1997,865491.0,600000.0,2025-10-17,ar ARG,100.0,alan barrionuevo|1997
alan cantero,MF,Barracas Central,25,1998,9.4,1,1,1.2,0.7,17,3,122,172,70.93,9,5,9,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,25.0,alan cantero,1998,alan cantero|1998,,,,ar ARG,,alan cantero|1998
alan lescano,"MF,FW",Arg Juniors,22,2001,20.9,5,2,4.5,2.7,39,13,723,894,80.87,33,17,27,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,22.0,alan lescano,2001,alan lescano|2001,991134.0,6000000.0,2025-10-17,ar ARG,100.0,alan lescano|2001
alan rodriguez,"DF,MF",Rosario Central,23,2000,10.6,1,0,0.2,0.4,8,2,459,646,71.05,16,10,8,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,23.0,alan rodriguez,2000,alan rodriguez|2000,,,,py PAR,,alan rodriguez|2000
alan sonora,"MF,FW",Huracán,25,1998,3.5,1,0,0.6,0.5,7,3,126,174,72.41,4,3,5,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,25.0,alan sonora,1998,alan sonora|1998,,,,us USA,,alan sonora|1998
alan sosa,GK,Tigre,27,1996,2.6,0,0,0.0,0.0,0,0,66,79,83.54,0,0,0,0,2.0,0.76,14.0,12.0,85.7,0.0,0.0,0.0,0.0,0.0,0.0,3.5,0.28,1.5,0.58,7.0,18.0,38.9,58.0,15.0,20.7,30.3,3.0,6.5,0.0,0.0,8.8,True,27.0,alan sosa,1996,alan sosa|1996,1103941.0,400000.0,2025-10-17,ar ARG,100.0,alan sosa|1996
alejandro maciel,DF,Banfield,26,1997,15.2,1,0,0.3,0.1,10,1,403,597,67.5,27,19,27,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,26.0,alejandro maciel,1997,alejandro maciel|1997,,,,ar ARG,,alejandro maciel|1997
alejandro martinez,FW,Talleres,26,1997,11.1,2,0,1.8,2.2,28,5,216,334,64.67,14,9,13,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,26.0,alejandro martinez,1997,alejandro martinez|1997,,,,ar ARG,,alejandro martinez|1997
alejandro rebola,DF,Belgrano,35,1988,16.1,0,0,0.5,0.1,11,2,604,751,80.43,22,11,16,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,35.0,alejandro rebola,1988,alejandro rebola|1988,,,,ar ARG,,alejandro rebola|1988
alejo sarco,"FW,MF",Vélez Sarsfield,18,2006,0.9,0,0,0.2,0.0,2,0,13,17,76.47,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,18.0,alejo sarco,2006,alejo sarco|2006,,,,ar ARG,,alejo sarco|2006
alex juarez,"MF,FW",Barracas Central,19,2004,2.8,0,0,0.5,0.5,8,3,70,105,66.67,3,3,5,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,19.0,alex juarez,2004,alex juarez|2004,,,,ar ARG,,alex juarez|2004
alex luna,"FW,MF",Independiente,19,2004,7.2,1,0,1.4,0.8,17,6,140,204,68.63,15,6,9,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,19.0,alex luna,2004,alex luna|2004,843126.0,3500000.0,2025-10-17,ar ARG,100.0,alex luna|2004
alex vigo,DF,Talleres,24,1999,4.1,0,0,0.1,0.2,3,1,175,238,73.53,8,8,8,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,24.0,alex vigo,1999,alex vigo|1999,648520.0,500000.0,2025-10-17,ar ARG,100.0,alex vigo|1999
alexander diaz,"MF,FW",Deportivo Riestra,24,2000,5.7,2,0,1.4,0.8,9,4,63,107,58.88,14,11,6,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,24.0,alexander diaz,2000,alexander diaz|2000,618986.0,400000.0,2025-10-17,ar ARG,100.0,alexander diaz|2000
